Fixture ID,League,League Logo,League Flag,League Country,Date,Match Time,Home Team,Home Logo,Away Team,Away Logo,Home Score,Away Score,Status,Elapsed,Extra Time
1521779,Druha Liga,https://media.api-sports.io/football/leagues/336.png,https://media.api-sports.io/flags/ua.svg,Ukraine,2026-04-24,10:00,Bukovyna 2,https://media.api-sports.io/football/teams/26739.png,Uzhhorod,https://media.api-sports.io/football/teams/6499.png,,,NS,,
1521918,Victoria NPL,https://media.api-sports.io/football/leagues/195.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,10:00,St. Albans Saints,https://media.api-sports.io/football/teams/9978.png,South Melbourne,https://media.api-sports.io/football/teams/3811.png,,,NS,,
1522305,Super Liga,https://media.api-sports.io/football/leagues/394.png,https://media.api-sports.io/flags/md.svg,Moldova,2026-04-24,10:00,Politehnica UTM,https://media.api-sports.io/football/teams/26115.png,Sireți,https://media.api-sports.io/football/teams/5379.png,,,NS,,
1523726,Northern NSW NPL,https://media.api-sports.io/football/leagues/481.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,10:00,Broadmeadow Magic,https://media.api-sports.io/football/teams/10202.png,Maitland,https://media.api-sports.io/football/teams/10208.png,,,NS,,
1523727,Northern NSW NPL,https://media.api-sports.io/football/leagues/481.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,10:00,Lambton Jaffas,https://media.api-sports.io/football/teams/10207.png,Cooks Hill United,https://media.api-sports.io/football/teams/18313.png,,,NS,,
1527270,South Australia State League 1,https://media.api-sports.io/football/leagues/834.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,10:00,Adelaide Olympic,https://media.api-sports.io/football/teams/3787.png,Adelaide Blue Eagles,https://media.api-sports.io/football/teams/3784.png,0,1,SUSP,,34
1531722,First League,https://media.api-sports.io/football/leagues/371.png,https://media.api-sports.io/flags/mk.svg,Macedonia,2026-04-24,10:00,Aresimi,https://media.api-sports.io/football/teams/19753.png,Shkupi 1927,https://media.api-sports.io/football/teams/2265.png,,,NS,,
1532552,NNSW League 1,https://media.api-sports.io/football/leagues/1090.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,10:00,Toronto Awaba Stags,https://media.api-sports.io/football/teams/23505.png,New Lambton,https://media.api-sports.io/football/teams/20789.png,,,NS,,
1532553,NNSW League 1,https://media.api-sports.io/football/leagues/1090.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,10:00,Singleton Strikers,https://media.api-sports.io/football/teams/23503.png,Lake Macquarie,https://media.api-sports.io/football/teams/10206.png,,,NS,,
1532554,NNSW League 1,https://media.api-sports.io/football/leagues/1090.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,10:00,Newcastle Croatia FC,https://media.api-sports.io/football/teams/27618.png,Dudley Redhead United,https://media.api-sports.io/football/teams/25461.png,,,NS,,
1533698,WK-League,https://media.api-sports.io/football/leagues/660.png,https://media.api-sports.io/flags/kr.svg,South-Korea,2026-04-24,10:00,Hwacheon KSPO,https://media.api-sports.io/football/teams/14376.png,Incheon Red Angels,https://media.api-sports.io/football/teams/14377.png,,,NS,,
1533699,WK-League,https://media.api-sports.io/football/leagues/660.png,https://media.api-sports.io/flags/kr.svg,South-Korea,2026-04-24,10:00,Seoul,https://media.api-sports.io/football/teams/14378.png,Changnyeong,https://media.api-sports.io/football/teams/14373.png,,,NS,,
1534720,1. Division,https://media.api-sports.io/football/leagues/388.png,https://media.api-sports.io/flags/kz.svg,Kazakhstan,2026-04-24,10:00,Tobol 2,https://media.api-sports.io/football/teams/27634.png,Turan Turkistan,https://media.api-sports.io/football/teams/21502.png,,,NS,,
1521917,Victoria NPL,https://media.api-sports.io/football/leagues/195.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,10:15,Oakleigh Cannons,https://media.api-sports.io/football/teams/3808.png,Bentleigh Greens,https://media.api-sports.io/football/teams/3799.png,,,NS,,
1522191,Victoria NPL 2,https://media.api-sports.io/football/leagues/836.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,10:30,Eltham Redbacks FC,https://media.api-sports.io/football/teams/27511.png,Northcote City,https://media.api-sports.io/football/teams/16788.png,,,NS,,
1522192,Victoria NPL 2,https://media.api-sports.io/football/leagues/836.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,10:30,Brunswick Juventus FC,https://media.api-sports.io/football/teams/27510.png,North Sunshine Eagles,https://media.api-sports.io/football/teams/25418.png,,,NS,,
1524133,Queensland Premier League,https://media.api-sports.io/football/leagues/833.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,10:30,Brisbane Strikers,https://media.api-sports.io/football/teams/10213.png,St George Willawong,https://media.api-sports.io/football/teams/9993.png,,,NS,,
1524207,Queensland Premier League,https://media.api-sports.io/football/leagues/833.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,10:30,Capalaba,https://media.api-sports.io/football/teams/10214.png,North Star,https://media.api-sports.io/football/teams/9992.png,,,NS,,
1541345,Victoria Premier League 2,https://media.api-sports.io/football/leagues/1226.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,10:30,Moreland City,https://media.api-sports.io/football/teams/16785.png,Bayside Argonauts,https://media.api-sports.io/football/teams/27694.png,,,NS,,
1541411,Victoria Premier League 2,https://media.api-sports.io/football/leagues/1226.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,10:30,Springvale,https://media.api-sports.io/football/teams/27699.png,Kingston City,https://media.api-sports.io/football/teams/3806.png,,,NS,,
1421722,U19 League,https://media.api-sports.io/football/leagues/1065.png,https://media.api-sports.io/flags/ua.svg,Ukraine,2026-04-24,11:00,Kolos Kovalivka U19,https://media.api-sports.io/football/teams/23075.png,SK Poltava U19,https://media.api-sports.io/football/teams/26237.png,,,NS,,
1470802,FKF Premier League,https://media.api-sports.io/football/leagues/276.png,https://media.api-sports.io/flags/ke.svg,Kenya,2026-04-24,11:00,Tusker,https://media.api-sports.io/football/teams/2475.png,Mara Sugar,https://media.api-sports.io/football/teams/19483.png,,,NS,,
1507323,Liga 3,https://media.api-sports.io/football/leagues/1104.png,https://media.api-sports.io/flags/ge.svg,Georgia,2026-04-24,11:00,Didube 2014,https://media.api-sports.io/football/teams/14857.png,Iveria Khashuri,https://media.api-sports.io/football/teams/27370.png,,,NS,,
1518063,V.League 1,https://media.api-sports.io/football/leagues/340.png,https://media.api-sports.io/flags/vn.svg,Vietnam,2026-04-24,11:00,Phu Dong,https://media.api-sports.io/football/teams/9167.png,Ha Noi,https://media.api-sports.io/football/teams/3670.png,,,NS,,
1518135,V.League 2,https://media.api-sports.io/football/leagues/637.png,https://media.api-sports.io/flags/vn.svg,Vietnam,2026-04-24,11:00,PVF-CAND,https://media.api-sports.io/football/teams/26649.png,Văn Hiến,https://media.api-sports.io/football/teams/26603.png,,,NS,,
1527174,Western Australia NPL,https://media.api-sports.io/football/leagues/196.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,11:00,Bayswater City,https://media.api-sports.io/football/teams/3814.png,Perth,https://media.api-sports.io/football/teams/3819.png,,,NS,,
1532677,League Two,https://media.api-sports.io/football/leagues/929.png,https://media.api-sports.io/flags/cn.svg,China,2026-04-24,11:00,Shandong Taishan II,https://media.api-sports.io/football/teams/23288.png,Qingdao Red Lions,https://media.api-sports.io/football/teams/5679.png,,,NS,,
1534722,1. Division,https://media.api-sports.io/football/leagues/388.png,https://media.api-sports.io/flags/kz.svg,Kazakhstan,2026-04-24,11:00,Taraz,https://media.api-sports.io/football/teams/4559.png,Yelimay Semey 2,https://media.api-sports.io/football/teams/27635.png,,,NS,,
